ID;Kreise;Flaeche
5915;Hamm, kreisfreie Stadt;226.43
5916;Herne, kreisfreie Stadt;51.42
5954;Ennepe-Ruhr-Kreis;409.64
5958;Hochsauerlandkreis;1960.17
5962;Märkischer Kreis;1061.06
5966;Olpe, Landkreis;712.14
5970;Siegen-Wittgenstein, Landkreis;1132.89
5974;Soest, Landkreis;1328.63
5978;Unna, Landkreis;543.21
6411;Darmstadt, kreisfreie Stadt;122.07
6412;Frankfurt am Main, kreisfreie Stadt;248.31
6413;Offenbach am Main, kreisfreie Stadt;44.88
6414;Wiesbaden, kreisfreie Stadt;203.87
6431;Bergstraße, Landkreis;719.47
6432;Darmstadt-Dieburg, Landkreis;658.64
6433;Groß-Gerau, Landkreis;453.03
6434;Hochtaunuskreis;481.84
6435;Main-Kinzig-Kreis;1397.32
6436;Main-Taunus-Kreis;222.53
6437;Odenwaldkreis;623.97
6438;Offenbach, Landkreis;356.24
6439;Rheingau-Taunus-Kreis;811.41
6440;Wetteraukreis;1100.66
6531;Gießen, Landkreis;854.56
6532;Lahn-Dill-Kreis;1066.30
6533;Limburg-Weilburg, Landkreis;738.44
6534;Marburg-Biedenkopf, Landkreis;1262.37
6535;Vogelsbergkreis;1458.91
6611;Kassel, kreisfreie Stadt;106.80
6631;Fulda, Landkreis;1380.41
6632;Hersfeld-Rotenburg, Landkreis;1097.74
6633;Kassel, Landkreis;1293.34
6634;Schwalm-Eder-Kreis;1539.02
6635;Waldeck-Frankenberg, Landkreis;1848.70
6636;Werra-Meißner-Kreis;1024.83
7111;Koblenz, kreisfreie Stadt;105.25
7131;Ahrweiler, Landkreis;787.02
7132;Altenkirchen (Westerwald), Landkreis;642.38
7133;Bad Kreuznach, Landkreis;863.89
7134;Birkenfeld, Landkreis;776.83
7135;Cochem-Zell, Landkreis;692.43
7137;Mayen-Koblenz, Landkreis;817.73
7138;Neuwied, Landkreis;627.06
7140;Rhein-Hunsrück-Kreis;991.06
7141;Rhein-Lahn-Kreis;782.24
7143;Westerwaldkreis;989.04
7211;Trier, kreisfreie Stadt;117.07
7231;Bernkastel-Wittlich, Landkreis;1167.94
7232;Eifelkreis Bitburg-Prüm;1626.95
7233;Vulkaneifel, Landkreis;911.64
7235;Trier-Saarburg, Landkreis;1102.23
7311;Frankenthal (Pfalz), kreisfreie Stadt;43.88
7312;Kaiserslautern, kreisfreie Stadt;139.70
7313;Landau in der Pfalz, kreisfreie Stadt;82.94
7314;Ludwigshafen am Rhein, kreisfreie Stadt;77.43
7315;Mainz, kreisfreie Stadt;97.73
7316;Neustadt an der Weinstraße, kreisfreie Stadt;117.09
7317;Pirmasens, kreisfreie Stadt;61.36
7318;Speyer, kreisfreie Stadt;42.71
7319;Worms, kreisfreie Stadt;108.73
7320;Zweibrücken, kreisfreie Stadt;70.64
7331;Alzey-Worms, Landkreis;588.07
7332;Bad Dürkheim, Landkreis;594.64
7333;Donnersbergkreis;645.41
7334;Germersheim, Landkreis;463.32
7335;Kaiserslautern, Landkreis;640.00
7336;Kusel, Landkreis;573.60
7337;Südliche Weinstraße, Landkreis;639.95
7338;Rhein-Pfalz-Kreis;304.99
7339;Mainz-Bingen, Landkreis;605.36
7340;Südwestpfalz, Landkreis;953.50
8111;Stuttgart, kreisfreie Stadt;207.33
8115;Böblingen, Landkreis;617.77
8116;Esslingen, Landkreis;641.28
8117;Göppingen, Landkreis;642.34
8118;Ludwigsburg, Landkreis;686.77
8119;Rems-Murr-Kreis;858.08
8121;Heilbronn, kreisfreie Stadt;99.89
8125;Heilbronn, Landkreis;1099.91
8126;Hohenlohekreis;776.76
8127;Schwäbisch Hall, Landkreis;1484.07
8128;Main-Tauber-Kreis;1304.13
8135;Heidenheim, Landkreis;627.14
8136;Ostalbkreis;1511.37
8211;Baden-Baden, kreisfreie Stadt;140.19
8212;Karlsruhe, kreisfreie Stadt;173.42
8215;Karlsruhe, Landkreis;1085.28
8216;Rastatt, Landkreis;738.43
8221;Heidelberg, kreisfreie Stadt;108.89
8222;Mannheim, kreisfreie Stadt;144.97
8225;Neckar-Odenwald-Kreis;1125.94
8226;Rhein-Neckar-Kreis;1061.55
8231;Pforzheim, kreisfreie Stadt;98.07
8235;Calw, Landkreis;797.29
8236;Enzkreis;573.60
8237;Freudenstadt, Landkreis;870.39
8311;Freiburg im Breisgau, kreisfreie Stadt;153.04
8315;Breisgau-Hochschwarzwald, Landkreis;1378.31
8316;Emmendingen, Landkreis;679.79
8317;Ortenaukreis;1850.34
8325;Rottweil, Landkreis;769.42
8326;Schwarzwald-Baar-Kreis;1025.33
8327;Tuttlingen, Landkreis;734.38
8335;Konstanz, Landkreis;817.98
8336;Lörrach, Landkreis;806.71
8337;Waldshut, Landkreis;1131.10
8415;Reutlingen, Landkreis;1027.85
8416;Tübingen, Landkreis;519.12
8417;Zollernalbkreis;917.58
8421;Ulm, kreisfreie Stadt;118.68
8425;Alb-Donau-Kreis;1358.55
8426;Biberach, Landkreis;1409.53
8435;Bodenseekreis;664.79
8436;Ravensburg, Landkreis;1632.10
8437;Sigmaringen, Landkreis;1204.23
9161;Ingolstadt, kreisfreie Stadt;133.35
9162;München, kreisfreie Stadt;310.71
9163;Rosenheim, kreisfreie Stadt;37.22
9171;Altötting, Landkreis;569.29
9172;Berchtesgadener Land, Landkreis;839.83
9173;Bad Tölz-Wolfratshausen, Landkreis;1110.67
9174;Dachau, Landkreis;579.16
9175;Ebersberg, Landkreis;549.40
9176;Eichstätt, Landkreis;1213.86
9177;Erding, Landkreis;870.75
9178;Freising, Landkreis;799.85
9179;Fürstenfeldbruck, Landkreis;434.80
9180;Garmisch-Partenkirchen, Landkreis;1012.21
9181;Landsberg am Lech, Landkreis;804.36
9182;Miesbach, Landkreis;866.22
9183;Mühldorf am Inn, Landkreis;805.33
9184;München, Landkreis;664.26
9185;Neuburg-Schrobenhausen, Landkreis;739.72
9186;Pfaffenhofen an der Ilm, Landkreis;761.04
9187;Rosenheim, Landkreis;1439.45
9188;Starnberg, Landkreis;487.72
9189;Traunstein, Landkreis;1533.76
9190;Weilheim-Schongau, Landkreis;966.30
9261;Landshut, kreisfreie Stadt;65.83
9262;Passau, kreisfreie Stadt;69.56
9263;Straubing, kreisfreie Stadt;67.59
9271;Deggendorf, Landkreis;861.17
9272;Freyung-Grafenau, Landkreis;983.87
9273;Kelheim, Landkreis;1065.14
9274;Landshut, Landkreis;1347.57
9275;Passau, Landkreis;1530.11
9276;Regen, Landkreis;974.80
9277;Rottal-Inn, Landkreis;1281.22
9278;Straubing-Bogen, Landkreis;1201.62
9279;Dingolfing-Landau, Landkreis;877.58
9361;Amberg, kreisfreie Stadt;50.13
9362;Regensburg, kreisfreie Stadt;80.85
9363;Weiden in der Oberpfalz, kreisfreie Stadt;70.57
9371;Amberg-Sulzbach, Landkreis;1255.87
9372;Cham, Landkreis;1520.13
9373;Neumarkt in der Oberpfalz, Landkreis;1343.96
9374;Neustadt an der Waldnaab, Landkreis;1427.71
9375;Regensburg, Landkreis;1391.67
9376;Schwandorf, Landkreis;1465.06
9377;Tirschenreuth, Landkreis;1084.25
9461;Bamberg, kreisfreie Stadt;54.62
9462;Bayreuth, kreisfreie Stadt;66.89
9463;Coburg, kreisfreie Stadt;48.29
9464;Hof, kreisfreie Stadt;58.02
9471;Bamberg, Landkreis;1167.80
9472;Bayreuth, Landkreis;1273.63
9473;Coburg, Landkreis;590.42
9474;Forchheim, Landkreis;642.83
9475;Hof, Landkreis;892.52
9476;Kronach, Landkreis;651.49
9477;Kulmbach, Landkreis;658.34
9478;Lichtenfels, Landkreis;519.94
9479;Wunsiedel im Fichtelgebirge, Landkreis;606.37
9561;Ansbach, kreisfreie Stadt;99.91
9562;Erlangen, kreisfreie Stadt;76.96
9563;Fürth, kreisfreie Stadt;63.35
9564;Nürnberg, kreisfreie Stadt;186.45
9565;Schwabach, kreisfreie Stadt;40.80
9571;Ansbach, Landkreis;1971.33
9572;Erlangen-Höchstadt, Landkreis;564.56
9573;Fürth, Landkreis;307.44
9574;Nürnberger Land, Landkreis;799.52
9575;Neustadt an der Aisch-Bad Windsheim, Landkreis;1267.45
9576;Roth, Landkreis;895.15
9577;Weißenburg-Gunzenhausen, Landkreis;970.78
9661;Aschaffenburg, kreisfreie Stadt;62.45
9662;Schweinfurt, kreisfreie Stadt;35.70
9663;Würzburg, kreisfreie Stadt;87.60
9671;Aschaffenburg, Landkreis;698.90
9672;Bad Kissingen, Landkreis;1136.84
9673;Rhön-Grabfeld, Landkreis;1021.72
9674;Haßberge, Landkreis;956.19
9675;Kitzingen, Landkreis;684.14
9676;Miltenberg, Landkreis;715.58
9677;Main-Spessart, Landkreis;1321.19
9678;Schweinfurt, Landkreis;841.39
9679;Würzburg, Landkreis;968.36
9761;Augsburg, kreisfreie Stadt;146.87
9762;Kaufbeuren, kreisfreie Stadt;40.02
9763;Kempten (Allgäu), kreisfreie Stadt;63.28
9764;Memmingen, kreisfreie Stadt;70.11
9771;Aichach-Friedberg, Landkreis;780.24
9772;Augsburg, Landkreis;1070.62
9773;Dillingen an der Donau, Landkreis;792.23
9774;Günzburg, Landkreis;762.40
9775;Neu-Ulm, Landkreis;515.84
9776;Lindau (Bodensee), Landkreis;323.39
9777;Ostallgäu, Landkreis;1394.45
9778;Unterallgäu, Landkreis;1229.59
9779;Donau-Ries, Landkreis;1274.58
9780;Oberallgäu, Landkreis;1527.99
