GENESIS-Tabelle: 12411-0018
Bevölkerung: Kreise, Stichtag, Geschlecht, Altersgruppen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich
;;;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr
31.12.2018;03252;Hameln-Pyrmont, Landkreis;1990;1939;2495;3356;2200;1548;3937;3885;3813;3851;3762;4959;6377;6225;5300;7914;8289;1884;1901;2421;3211;2106;1407;3461;3736;3796;3924;3984;4944;6560;6433;5462;8907;12582
31.12.2018;03253;Hannover, Landkreis (bis 31.10.2001);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2018;03254;Hildesheim, Landkreis;3622;3541;4552;6214;4185;3094;8361;8489;7717;7503;7408;9415;12065;11365;9247;14186;13948;3388;3426;4270;5994;3884;2941;8718;7780;7347;7519;7657;9344;12045;11411;9585;15508;20865
31.12.2018;03255;Holzminden, Landkreis;873;880;1164;1495;1104;854;2005;1955;1960;1852;1720;2313;3032;3053;2586;4115;4226;853;824;1128;1428;1018;659;1707;1657;1680;1769;1766;2342;3051;2979;2612;4360;5955
31.12.2018;03256;Nienburg (Weser), Landkreis;1595;1612;2181;2946;1993;1447;3650;3505;3420;3301;3352;4232;5534;5376;4325;6220;5711;1632;1652;2086;2922;1839;1279;2988;2930;3182;3196;3247;4224;5282;5181;4327;6467;8552
31.12.2018;03257;Schaumburg, Landkreis;2013;2021;2581;3567;2472;1796;4303;4098;4142;4198;4251;5394;7299;6721;5479;8359;8480;1996;1929;2501;3418;2291;1724;3647;3810;4003;4259;4155;5590;7139;6755;5602;9186;12602
31.12.2018;03351;Celle, Landkreis;2542;2561;3389;4392;2873;2095;4827;5008;5131;5214;4832;5902;7576;7077;6054;9490;9091;2428;2522;3179;4213;2754;1807;4171;4605;5048;5106;4883;5941;7561;7208;6245;10368;12843
31.12.2018;03352;Cuxhaven, Landkreis;2678;2661;3437;4817;2959;2237;5000;4968;5187;5154;5129;6826;8535;8063;6774;11980;10639;2479;2406;3339;4357;3010;1995;4310;4457;5064;5245;5317;7168;8831;8399;7312;12613;14867
31.12.2018;03353;Harburg, Landkreis;3714;3700;4796;6263;3936;2792;6927;6431;6732;7361;7336;8928;11875;10551;7923;12544;12693;3473;3491;4584;5847;3726;2516;5564;5376;6623;7885;7630;9427;12192;10639;8125;14080;17096
31.12.2018;03354;Lüchow-Dannenberg, Landkreis;535;606;819;1130;777;511;1125;1120;1212;1209;1204;1540;2057;2050;1820;3124;3000;539;564;690;1037;710;443;903;990;1058;1244;1174;1574;2133;2216;1978;3206;4126
